iter	Passed	Remaining
565	12131	9302
566	12151	9280
567	12280	9339
568	12321	9332
569	12357	9322
570	12389	9308
571	12423	9295
572	12515	9326
573	12562	9323
574	12596	9310
575	12639	9304
576	12675	9292
577	12718	9285
578	12755	9274
579	12788	9260
580	12824	9248
581	12846	9226
582	12868	9204
583	12884	9178
584	12901	9152
585	12923	9130
586	12954	9114
587	12989	9101
588	13026	9089
589	13057	9073
590	13086	9056
591	13101	9029
592	13118	9003
593	13135	8978
594	13147	8949
595	13161	8921
596	13173	8892
597	13185	8863
598	13198	8835
599	13211	8807
600	13223	8778
601	13234	8749
602	13248	8722
603	13263	8695
604	13276	8667
605	13289	8640
606	13300	8611
607	13313	8583
608	13328	8557
609	13340	8529
610	13354	8502
611	13369	8476
612	13382	8448
613	13398	8423
614	13419	8400
615	13436	8375
616	13451	8350
617	13471	8327
618	13493	8305
619	13520	8286
620	13543	8265
621	13571	8247
622	13598	8228
623	13632	8214
624	13666	8199
625	13701	8186
626	13717	8160
627	13740	8139
628	13759	8115
629	13780	8093
630	13806	8073
631	13830	8053
632	13860	8035
633	13891	8019
634	13927	8005
635	13956	7987
636	13987	7970
637	14007	7947
638	14021	7921
639	14033	7893
640	14046	7866
641	14071	7846
642	14091	7823
643	14120	7805
644	14137	7780
645	14151	7754
646	14166	7729
647	14178	7701
648	14192	7675
649	14207	7650
650	14222	7624
651	14236	7598
652	14253	7574
653	14267	7548
654	14280	7521
655	14294	7496
656	14310	7471
657	14322	7444
658	14337	7418
659	14458	7448
660	14489	7431
661	14515	7411
662	14539	7390
663	14557	7366
664	14574	7341
665	14588	7316
666	14605	7292
667	14620	7266
668	14636	7241
669	14651	7216
670	14666	7191
671	14682	7166
672	14699	7142
673	14714	7117
674	14728	7091
675	14744	7066
676	14757	7040
677	14771	7015
678	14788	6991
679	14804	6966
680	14820	6942
681	14836	6917
682	14851	6893
683	14867	6868
684	14883	6844
685	14898	6819
686	14915	6795
687	14934	6772
688	14949	6747
689	14962	6722
690	14976	6697
691	14988	6671
692	15002	6646
693	15017	6621
694	15031	6596
695	15047	6572
696	15062	6548
697	15076	6523
698	15095	6500
699	15110	6475
700	15123	6450
701	15139	6426
702	15154	6402
703	15171	6378
704	15184	6353
705	15197	6328
706	15210	6303
707	15224	6279
708	15241	6255
709	15257	6231
710	15274	6208
711	15297	6187
712	15313	6163
713	15331	6141
714	15347	6117
715	15363	6093
716	15378	6069
717	15393	6046
718	15410	6022
719	15426	5999
720	15443	5976
721	15457	5951
722	15470	5927
723	15486	5903
724	15498	5878
725	15511	5854
726	15526	5830
727	15539	5805
728	15553	5781
729	15567	5757
730	15579	5732
731	15592	5708
732	15604	5684
733	15617	5659
734	15630	5635
735	15643	5611
736	15659	5587
737	15671	5563
738	15685	5539
739	15697	5515
740	15711	5491
741	15734	5470
742	15746	5446
743	15762	5423
744	15775	5399
745	15788	5375
746	15801	5351
747	15814	5327
748	15826	5303
749	15840	5280
750	15856	5257
751	15869	5233
752	15881	5209
753	15895	5186
754	15908	5162
755	15921	5138
756	15938	5116
757	15956	5094
758	15972	5071
759	15989	5049
760	16004	5026
761	16020	5003
762	16037	4981
763	16054	4959
764	16070	4936
765	16091	4915
766	16107	4893
767	16121	4870
768	16136	4847
769	16160	4827
770	16186	4807
771	16199	4784
772	16213	4761
773	16226	4737
774	16242	4715
775	16258	4693
776	16276	4671
777	16292	4648
778	16308	4626
779	16322	4603
780	16335	4580
781	16350	4558
782	16363	4534
783	16376	4511
784	16388	4488
785	16404	4466
786	16418	4443
787	16436	4421
788	16452	4399
789	16464	4376
790	16477	4353
791	16489	4330
792	16501	4307
793	16593	4305
794	16622	4286
795	16648	4266
796	16680	4248
797	16697	4226
798	16715	4205
799	16734	4183
800	16760	4164
801	16778	4142
802	16796	4120
803	16812	4098
804	16828	4076
805	16843	4054
806	16859	4032
807	16877	4010
808	16894	3988
809	16910	3966
810	16925	3944
811	16940	3922
812	16953	3899
813	16969	3877
814	16983	3855
815	16998	3832
816	17011	3810
817	17027	3788
818	17043	3766
819	17063	3745
820	17084	3724
821	17099	3702
822	17116	3681
823	17137	3660
824	17154	3638
825	17169	3616
826	17196	3597
827	17214	3575
828	17229	3554
829	17247	3532
830	17262	3510
831	17279	3489
832	17295	3467
833	17312	3445
834	17327	3423
835	17342	3402
836	17357	3380
837	17371	3358
838	17392	3337
839	17407	3315
840	17423	3294
841	17443	3273
842	17463	3252
843	17481	3231
844	17499	3209
845	17514	3188
846	17533	3167
847	17548	3145
848	17565	3124
849	17585	3103
850	17601	3081
851	17620	3060
852	17636	3039
853	17654	3018
854	17672	2997
855	17689	2975
856	17705	2954
857	17720	2932
858	17738	2911
859	17762	2891
860	17779	2870
861	17792	2848
862	17805	2826
863	17820	2805
864	17836	2783
865	17853	2762
866	17869	2741
867	17886	2719
868	17904	2699
869	17929	2679
870	17946	2657
871	17961	2636
872	17978	2615
873	17995	2594
874	18012	2573
875	18027	2551
876	18043	2530
877	18058	2509
878	18076	2488
879	18092	2467
880	18110	2446
881	18126	2425
882	18143	2404
883	18161	2383
884	18177	2362
885	18194	2341
886	18210	2319
887	18226	2298
888	18242	2277
889	18258	2256
890	18275	2235
891	18291	2214
892	18306	2193
893	18323	2172
894	18337	2151
895	18354	2130
896	18372	2109
897	18389	2088
898	18405	2067
899	18418	2046
900	18434	2025
901	18448	2004
902	18472	1984
903	18511	1965
904	18550	1947
905	18587	1928
906	18625	1909
907	18738	1898
908	18800	1882
909	18835	1862
910	18854	1842
911	18867	1820
912	18884	1799
913	18896	1778
914	18909	1756
915	18923	1735
916	18937	1714
917	18955	1693
918	18976	1672
919	18994	1651
920	19011	1630
921	19034	1610
922	19051	1589
923	19067	1568
924	19080	1547
925	19095	1525
926	19109	1504
927	19123	1483
928	19136	1462
929	19150	1441
930	19163	1420
931	19179	1399
932	19191	1378
933	19204	1357
934	19217	1335
935	19231	1314
936	19243	1293
937	19255	1272
938	19275	1252
939	19299	1231
940	19322	1211
941	19346	1191
942	19375	1171
943	19405	1151
944	19432	1131
945	19548	1115
946	19580	1095
947	19608	1075
948	19643	1055
949	19675	1035
950	19698	1014
951	19723	994
952	19744	973
953	19764	953
954	19787	932
955	19810	911
956	19833	891
957	19855	870
958	19880	849
959	19902	829
960	19926	808
961	19950	788
962	19977	767
963	19999	746
964	20025	726
965	20048	705
966	20065	684
967	20084	663
968	20101	643
969	20119	622
970	20139	601
971	20159	580
972	20175	559
973	20186	538
974	20198	517
975	20211	497
976	20227	476
977	20240	455
978	20252	434
979	20265	413
980	20278	392
981	20291	371
982	20303	351
983	20316	330
984	20333	309
985	20351	288
986	20365	268
987	20379	247
988	20399	226
989	20428	206
990	20453	185
991	20471	165
992	20486	144
993	20501	123
994	20520	103
995	20537	82
996	20553	61
997	20624	41
998	20661	20
999	20679	0
